title,platform,score,genre,release_year,release_month
Stardew Valley,PlayStation 4,10,iPhone,2023,6
Stardew Valley,Xbox One,10,iPhone,2023,6
Stardew Valley,PlayStation Vita,10,iPhone,2023,6
Stardew Valley,iPad,10,iPhone,2023,6
Stardew Valley,iPod,10,iPhone,2023,6
Stardew Valley,iPhone,10,iPhone,2023,6
Stardew Valley,Wii U,10,iPhone,2023,6
V Rising,PC,9,Action,2024,12
Hades II,PC,9,Action,2024,5
Homeworld: Vast Reaches,Meta Quest 2,5,Action,2024,12
Homeworld: Vast Reaches,PC,5,Action,2024,12
Another Crab’s Treasure,PC,8,Action,2024,4
Another Crab’s Treasure,Nintendo Switch,8,Action,2024,4
Another Crab’s Treasure,Xbox One,8,Action,2024,4
Sand Land,PC,6,Bandai Namco Games,2024,4
Manor Lords,Xbox One,7,PC,2049,12
TopSpin 2K25,PC,7,Sports,2024,4
TopSpin 2K25,PlayStation 4,7,Sports,2024,4
TopSpin 2K25,Xbox One,7,Sports,2024,4
TMNT Arcade: Wrath of the Mutants,PlayStation 4,6,PlayStation 4,2024,4
TMNT Arcade: Wrath of the Mutants,Xbox One,6,PlayStation 4,2024,4
TMNT Arcade: Wrath of the Mutants,Xbox Series X|S,6,PlayStation 4,2024,4
No Rest for the Wicked,PC,7,Action,2049,12
No Rest for the Wicked,PlayStation 5,7,Action,2049,12
Tales of Kenzera: Zau,PC,7,Action,2024,4
Tales of Kenzera: Zau,Nintendo Switch,7,Action,2024,4
Eiyuden Chronicle,PlayStation 4,7,RPG,2024,4
Eiyuden Chronicle,Xbox One,7,RPG,2024,4
Eiyuden Chronicle,PC,7,RPG,2024,4
Harold Halibut,PC,8,Adventure,2024,4
Harold Halibut,PlayStation 5,8,Adventure,2024,4
Broken Roads,PC,4,RPG,2024,12
Broken Roads,PlayStation 4,4,RPG,2024,12
Broken Roads,Xbox One,4,RPG,2024,12
Broken Roads,Nintendo Switch,4,RPG,2024,12
Children of the Sun,PC,7,Action,2024,4
Botany Manor,Nintendo Switch,8,Puzzle,2024,4
Botany Manor,PC,8,Puzzle,2024,4
Botany Manor,Xbox One,8,Puzzle,2024,4
ASTRA: Knights of Veda,PC,6,Action,2024,12
ASTRA: Knights of Veda,iPhone,6,Action,2024,12
ASTRA: Knights of Veda,Android,6,Action,2024,12
Call of Duty: Warzone Mobile,iPhone,8,iPhone,2024,3
Open Roads,PlayStation 4,6,Adventure,2024,3
Open Roads,Xbox One,6,Adventure,2024,3
Open Roads,PlayStation 5,6,Adventure,2024,3
Open Roads,PC,6,Adventure,2024,3
