title,platform,score,genre,release_year,release_month,Game_genre_rate,Prop_of_genre_on_platf,Mean_score_per_genre
Stardew Valley,PlayStation 4,10.0,iPhone,2023,6,1.209,0.002,9.0
Stardew Valley,Xbox One,10.0,iPhone,2023,6,1.209,0.002,9.0
Stardew Valley,PlayStation Vita,10.0,iPhone,2023,6,1.209,0.006,10.0
Stardew Valley,iPad,10.0,iPhone,2023,6,1.209,0.008,10.0
Stardew Valley,iPod,10.0,iPhone,2023,6,1.209,0.045,10.0
Stardew Valley,iPhone,10.0,iPhone,2023,6,1.209,0.009,7.262
Stardew Valley,Wii U,10.0,iPhone,2023,6,1.209,0.008,10.0
V Rising,PC,9.0,Action,2024,12,1.307,0.243,7.019
Hades II,PC,9.0,Action,2024,5,1.307,0.243,7.019
Homeworld: Vast Reaches,Meta Quest 2,5.0,Action,2024,12,0.726,1.0,5.0
Homeworld: Vast Reaches,PC,5.0,Action,2024,12,0.726,0.243,7.019
Another Crab’s Treasure,PC,8.0,Action,2024,4,1.162,0.243,7.019
Another Crab’s Treasure,Nintendo Switch,8.0,Action,2024,4,1.162,0.356,7.881
Another Crab’s Treasure,Xbox One,8.0,Action,2024,4,1.162,0.349,7.329
Sand Land,PC,6.0,Bandai Namco Games,2024,4,0.876,0.001,6.38
TopSpin 2K25,PC,7.0,Sports,2024,4,0.995,0.053,7.0
TopSpin 2K25,PlayStation 4,7.0,Sports,2024,4,0.995,0.075,7.304
TopSpin 2K25,Xbox One,7.0,Sports,2024,4,0.995,0.079,7.071
TMNT Arcade: Wrath of the Mutants,PlayStation 4,6.0,PlayStation 4,2024,4,0.885,0.027,6.893
TMNT Arcade: Wrath of the Mutants,Xbox One,6.0,PlayStation 4,2024,4,0.885,0.022,6.811
TMNT Arcade: Wrath of the Mutants,Xbox Series X|S,6.0,PlayStation 4,2024,4,0.885,0.047,6.5
Tales of Kenzera: Zau,PC,7.0,Action,2024,4,1.017,0.243,7.019
Tales of Kenzera: Zau,Nintendo Switch,7.0,Action,2024,4,1.017,0.356,7.881
Eiyuden Chronicle,PlayStation 4,7.0,RPG,2024,4,0.927,0.096,7.513
Eiyuden Chronicle,Xbox One,7.0,RPG,2024,4,0.927,0.085,7.584
Eiyuden Chronicle,PC,7.0,RPG,2024,4,0.927,0.092,7.66
Harold Halibut,PC,8.0,Adventure,2024,4,1.138,0.119,7.203
Harold Halibut,PlayStation 5,8.0,Adventure,2024,4,1.138,0.132,8.121
Broken Roads,PC,4.0,RPG,2024,12,0.53,0.092,7.66
Broken Roads,PlayStation 4,4.0,RPG,2024,12,0.53,0.096,7.513
Broken Roads,Xbox One,4.0,RPG,2024,12,0.53,0.085,7.584
Broken Roads,Nintendo Switch,4.0,RPG,2024,12,0.53,0.153,7.111
Children of the Sun,PC,7.0,Action,2024,4,1.017,0.243,7.019
Botany Manor,Nintendo Switch,8.0,Puzzle,2024,4,1.124,0.034,7.5
Botany Manor,PC,8.0,Puzzle,2024,4,1.124,0.028,7.075
Botany Manor,Xbox One,8.0,Puzzle,2024,4,1.124,0.009,7.725
ASTRA: Knights of Veda,PC,6.0,Action,2024,12,0.871,0.243,7.019
ASTRA: Knights of Veda,iPhone,6.0,Action,2024,12,0.871,0.269,6.986
ASTRA: Knights of Veda,Android,6.0,Action,2024,12,0.871,0.372,7.159
Call of Duty: Warzone Mobile,iPhone,8.0,iPhone,2024,3,0.967,0.009,7.262
Open Roads,PlayStation 4,6.0,Adventure,2024,3,0.853,0.142,7.386
Open Roads,Xbox One,6.0,Adventure,2024,3,0.853,0.137,7.326
Open Roads,PlayStation 5,6.0,Adventure,2024,3,0.853,0.132,8.121
Open Roads,PC,6.0,Adventure,2024,3,0.853,0.119,7.203
South Park: Snow Day,Xbox Series X|S,3.0,Action,2024,3,0.436,0.402,6.639
South Park: Snow Day,PC,3.0,Action,2024,3,0.436,0.243,7.019
MLB The Show 24,PlayStation 4,8.0,Sports,2024,3,1.137,0.075,7.304
MLB The Show 24,Nintendo Switch,8.0,Sports,2024,3,1.137,0.085,5.8
MLB The Show 24,Xbox One,8.0,Sports,2024,3,1.137,0.079,7.071
Dragon's Dogma 2,PC,8.0,Action,2024,3,1.162,0.243,7.019
Alone in the Dark,Xbox Series X|S,6.0,Action,2024,3,0.871,0.402,6.639
Alone in the Dark,PC,6.0,Action,2024,3,0.871,0.243,7.019
Lightyear Frontier,PC,7.0,RPG,2024,3,0.927,0.092,7.66
Lightyear Frontier,Xbox One,7.0,RPG,2024,3,0.927,0.085,7.584
Outcast: A New Beginning,PC,7.0,Action,2024,3,1.017,0.243,7.019
Contra: Operation Galuga,Nintendo Switch,6.0,Action,2024,3,0.871,0.356,7.881
Contra: Operation Galuga,PC,6.0,Action,2024,3,0.871,0.243,7.019
Contra: Operation Galuga,PlayStation 4,6.0,Action,2024,3,0.871,0.355,7.387
Contra: Operation Galuga,Xbox One,6.0,Action,2024,3,0.871,0.349,7.329
Balatro,PlayStation 4,9.0,PlayStation 4,2024,2,1.328,0.027,6.893
Balatro,PC,9.0,PlayStation 4,2024,2,1.328,0.006,6.792
Balatro,Xbox One,9.0,PlayStation 4,2024,2,1.328,0.022,6.811
Balatro,Macintosh,9.0,PlayStation 4,2024,2,1.328,0.007,9.0
Unicorn Overlord,Xbox Series X|S,9.0,RPG,2024,3,1.192,0.087,7.545
Unicorn Overlord,PlayStation 4,9.0,RPG,2024,3,1.192,0.096,7.513
Expeditions: A Mudrunner Game,Xbox One,8.0,PlayStation 4,2024,3,1.18,0.022,6.811
Expeditions: A Mudrunner Game,PlayStation 4,8.0,PlayStation 4,2024,3,1.18,0.027,6.893
Expeditions: A Mudrunner Game,PC,8.0,PlayStation 4,2024,3,1.18,0.006,6.792
WWE 2K24,PC,8.0,Wrestling,2024,3,1.144,0.002,6.543
WWE 2K24,PlayStation 4,8.0,Wrestling,2024,3,1.144,0.008,7.1
WWE 2K24,Xbox One,8.0,Wrestling,2024,3,1.144,0.009,7.1
The Thaumaturge,PC,8.0,Adventure,2024,12,1.138,0.119,7.203
The Thaumaturge,PlayStation 5,8.0,Adventure,2024,12,1.138,0.132,8.121
Splatoon 3: Side Order,Nintendo Switch,8.0,Shooter,2024,2,1.123,0.034,7.5
Sons of the Forest,PC,9.0,Adventure,2023,2,1.28,0.119,7.203
Last Epoch,PC,8.0,Action,2024,2,1.162,0.243,7.019
Pacific Drive,PC,7.0,Adventure,2024,2,0.996,0.119,7.203
Helldivers II,PC,9.0,Action,2024,2,1.307,0.243,7.019
Deep Rock Galactic: Survivor,PC,8.0,Action,2024,2,1.162,0.243,7.019
Atomic Heart - Trapped in Limbo,PlayStation 4,3.0,Action,2024,2,0.436,0.355,7.387
Atomic Heart - Trapped in Limbo,PC,3.0,Action,2024,2,0.436,0.243,7.019
Atomic Heart - Trapped in Limbo,Xbox One,3.0,Action,2024,2,0.436,0.349,7.329
Banishers,Xbox Series X|S,7.0,Action,2024,2,1.017,0.402,6.639
Banishers,PC,7.0,Action,2024,2,1.017,0.243,7.019
The Inquisitor,PC,6.0,Action,2024,2,0.871,0.243,7.019
Suicide Squad,PC,5.0,Action,2024,1,0.726,0.243,7.019
Granblue Fantasy: Relink,PlayStation 4,8.0,Action,2024,2,1.162,0.355,7.387
Granblue Fantasy: Relink,PC,8.0,Action,2024,2,1.162,0.243,7.019
Persona 3: Reload,Xbox One,9.0,RPG,2024,2,1.192,0.085,7.584
Persona 3: Reload,PlayStation 5,9.0,RPG,2024,2,1.192,0.076,7.473
Persona 3: Reload,PlayStation 4,9.0,RPG,2024,2,1.192,0.096,7.513
Persona 3: Reload,PC,9.0,RPG,2024,2,1.192,0.092,7.66
Palworld,Xbox One,7.0,RPG,2024,1,0.927,0.085,7.584
Palworld,PC,7.0,RPG,2024,1,0.927,0.092,7.66
Enshrouded,PC,8.0,Action,2024,12,1.162,0.243,7.019
Enshrouded,PlayStation 5,8.0,Action,2024,12,1.162,0.396,7.118
Palworld,Xbox One,8.0,RPG,2024,1,1.059,0.085,7.584
Palworld,PC,8.0,RPG,2024,1,1.059,0.092,7.66
Like a Dragon: Infinite Wealth,PlayStation 4,9.0,Action,2024,1,1.307,0.355,7.387
Like a Dragon: Infinite Wealth,PlayStation 5,9.0,Action,2024,1,1.307,0.396,7.118
Like a Dragon: Infinite Wealth,PC,9.0,Action,2024,1,1.307,0.243,7.019
Like a Dragon: Infinite Wealth,Xbox One,9.0,Action,2024,1,1.307,0.349,7.329
Turnip Boy Robs a Bank,Xbox Series X|S,8.0,PC,2024,1,1.089,0.118,7.513
Turnip Boy Robs a Bank,PC,8.0,PC,2024,1,1.089,0.009,7.247
Prince of Persia: The Lost Crown,Nintendo Switch,8.0,Ubisoft,2024,1,1.125,0.017,8.0
Prince of Persia: The Lost Crown,PlayStation 4,8.0,Ubisoft,2024,1,1.125,0.025,7.096
Prince of Persia: The Lost Crown,Xbox One,8.0,Ubisoft,2024,1,1.125,0.032,6.961
Supernormal,PC,6.0,Action,2024,1,0.871,0.243,7.019
Fortnite: Rocket Racing,Android,6.0,Racing,2023,12,0.88,0.047,7.0
Fortnite: Rocket Racing,Xbox One,6.0,Racing,2023,12,0.88,0.068,7.754
Fortnite: Rocket Racing,PlayStation 4,6.0,Racing,2023,12,0.88,0.052,7.489
Fortnite: Rocket Racing,PC,6.0,Racing,2023,12,0.88,0.06,7.141
Fortnite: Rocket Racing,Xbox Series X|S,6.0,Racing,2023,12,0.88,0.047,7.667
Fortnite: Rocket Racing,Macintosh,6.0,Racing,2023,12,0.88,0.029,7.35
Silent Hill: Ascension,iPhone,5.0,Adventure,2023,10,0.711,0.068,7.744
Silent Hill: Ascension,PC,5.0,Adventure,2023,10,0.711,0.119,7.203
Silent Hill: Ascension,iPad,5.0,Adventure,2023,10,0.711,0.189,8.013
Silent Hill: Ascension,Android,5.0,Adventure,2023,10,0.711,0.093,7.45
The Finals,PC,8.0,PC,2023,12,1.089,0.009,7.247
Warhammer 40K: Rogue Trader,Macintosh,8.0,RPG,2023,12,1.059,0.073,8.32
Warhammer 40K: Rogue Trader,PC,8.0,RPG,2023,12,1.059,0.092,7.66
Warhammer 40K: Rogue Trader,PlayStation 5,8.0,RPG,2023,12,1.059,0.076,7.473
Resident Evil 4,PC,8.0,Action,2023,12,1.162,0.243,7.019
Resident Evil 4,PlayStation 4,8.0,Action,2023,12,1.162,0.355,7.387
Resident Evil 4,Xbox Series X|S,8.0,Action,2023,12,1.162,0.402,6.639
Resident Evil 4,iPad,8.0,Action,2023,12,1.162,0.246,7.037
Resident Evil 4,Macintosh,8.0,Action,2023,12,1.162,0.226,7.661
Granblue Fantasy Versus: Rising,PlayStation 4,9.0,Fighting,2023,12,1.275,0.028,7.71
Granblue Fantasy Versus: Rising,PC,9.0,Fighting,2023,12,1.275,0.009,7.345
