title,platform,score,genre,release_year,release_month,Game_genre_rate
LittleBigPlanet PS Vita,PlayStation Vita,9.0,Platformer,2012,9,0.5
LittleBigPlanet PS Vita -- Marvel Super Hero Edition,PlayStation Vita,9.0,Platformer,2012,9,0.5
Splice: Tree of Life,iPad,8.5,Puzzle,2012,9,1.0
NHL 13,Xbox 360,8.5,Sports,2012,9,0.5
NHL 13,PlayStation 3,8.5,Sports,2012,9,0.5
title,platform,score,genre,release_year,release_month,Game_genre_rate
LittleBigPlanet PS Vita,PlayStation Vita,9.0,Platformer,2012,9,0.5
LittleBigPlanet PS Vita -- Marvel Super Hero Edition,PlayStation Vita,9.0,Platformer,2012,9,0.5
Splice: Tree of Life,iPad,8.5,Puzzle,2012,9,1.0
NHL 13,Xbox 360,8.5,Sports,2012,9,0.5
NHL 13,PlayStation 3,8.5,Sports,2012,9,0.5
